gene,beta_sex_M_vs_F,pval_sex_M_vs_F,qval_sex_M_vs_F
LINC01409,-0.03016142745572963,0.8051070570532175,0.9519993258750311
LINC01128,0.0036951849260782785,0.9429848262612435,0.9865318927059891
LINC00115,0.14930037891753506,0.0516168364762847,0.4284103433334767
FAM41C,-0.15498451054483822,0.10052706884588879,0.5215165880600282
SAMD11,-0.21629945194906378,0.2638506307402956,0.6965649849416905
NOC2L,0.010905171470761922,0.8478547526283302,0.9637586012464453
KLHL17,-0.1554964378684629,0.029336980382499343,0.36736323594807246
HES4,-0.3435081470401599,0.01569531954388645,0.2976264319238983
ISG15,-0.004453703620206879,0.9791484676290947,0.9951631050862856
AGRN,-0.18608834659857587,0.02914139585870692,0.3669891309938812
C1orf159,0.0686509496604928,0.27306655844740596,0.7020382365107002
TTLL10,-0.019342041805382217,0.7843506615960743,0.9458514355763156
TNFRSF18,-0.364341092525295,0.013111443864998386,0.2802542318593557
TNFRSF4,-0.21796584187771448,0.16993963977881282,0.6132282094090422
SDF4,-0.009445630980499414,0.853489067769106,0.964897233301405
B3GALT6,0.017372142654026892,0.7851037758335516,0.9458811296163538
UBE2J2,0.020579748326480178,0.7020621564349048,0.9222404428912664
SCNN1D,-0.16122668825553765,0.027855384052053414,0.3623358958779789
ACAP3,-0.16894633426882777,0.03649401849838684,0.3861189679013975
PUSL1,-0.02922864179343295,0.7041355783893936,0.9229399993304475
INTS11,-0.07600497808129618,0.3265640520127231,0.7471182377311607
CPTP,-0.11392531203825099,0.2426353060146531,0.6821219274208348
DVL1,-0.022466024650960845,0.7803791395949176,0.9452760767078
AURKAIP1,-0.073254181398132,0.3300499302017549,0.7495359093422755
CCNL2,0.03499916013350409,0.5153175352419198,0.8548368086805428
MRPL20-AS1,0.054569415523782326,0.42286031024132753,0.8110572834794578
MRPL20,0.10730109749601802,0.1077287537868993,0.5332589683257163
AL391244.2,0.0036016456934646487,0.9560318666381201,0.9907527302825166
ATAD3B,0.05477277956424506,0.32555557974809624,0.7465429612971195
ATAD3A,0.16393184892669016,0.11871100571827098,0.548432415946609
SSU72,-0.011490551942695059,0.7721236504786567,0.9438205706322947
AL645728.1,-0.04652918366696107,0.5695998247898355,0.8771450926161452
FNDC10,0.02342174010682194,0.8644011143101344,0.9682006399908915
AL691432.2,-0.033960284929046854,0.5449711504848691,0.8645856583744129
MIB2,-0.08491430320881388,0.23055964195911943,0.6727222911133663
