gene,beta_sex_M_vs_F_mixed,pval_sex_M_vs_F_mixed,qval_sex_M_vs_F_mixed
LINC01409,-0.030161427455729452,0.8326748329568071,0.9791670712162904
LINC01128,0.0036951849260775126,0.9511879047644209,0.9941325704959467
LINC00115,0.14930037891753542,0.0875742527085453,0.6447545746936341
FAM41C,-0.15498451054483833,0.10430311035825074,0.6726402593762069
SAMD11,-0.21629945194906194,0.3381788109181826,0.8523703223199669
NOC2L,0.010905171470756442,0.8808278428857292,0.9856950456667515
KLHL17,-0.15549643786846395,0.05289204407713634,0.5755084434184501
HES4,-0.34350814704015925,0.02373705244904275,0.4613499011791864
ISG15,-0.00445370362020738,0.983687214337959,0.9982931455186198
AGRN,-0.18608834659857454,0.036355108875121944,0.5168204790142201
C1orf159,0.06865094966049669,0.2881836647707018,0.837897803875272
TTLL10,-0.019342041805382706,0.7910521405397817,0.9744038670251552
TNFRSF18,-0.3643410925252975,0.01041942136971171,0.34964268051843933
TNFRSF4,-0.21796584187771678,0.17038104756359862,0.7408987143609773
SDF4,-0.009445630980497659,0.881482655519865,0.9856950456667515
B3GALT6,0.01737214265403039,0.8186604530249127,0.9772333976642704
UBE2J2,0.020579748326476594,0.7246530088878925,0.964479341575951
SCNN1D,-0.1612266882555369,0.037914269016315276,0.5259909333657575
ACAP3,-0.16894633426882624,0.08702848502362996,0.6445562391089773
PUSL1,-0.029228641793430907,0.7480406282014558,0.9668459263387813
INTS11,-0.07600497808129832,0.441050665426197,0.8999585665692766
CPTP,-0.11392531203825151,0.32583015601602305,0.8454467986545229
DVL1,-0.022466024650960432,0.8216600346092807,0.9772333976642704
AURKAIP1,-0.07325418139813053,0.40033507879698715,0.8827845547574232
CCNL2,0.03499916013350483,0.6140083785775925,0.9456955471761506
MRPL20-AS1,0.054569415523781535,0.4349462153032687,0.8989537090467529
MRPL20,0.10730109749601505,0.14387879284631433,0.7165012187907703
AL391244.2,0.0036016456934626186,0.9558774081880896,0.9944760259869103
