donor,xist_raw,y_genes_raw,xist_log1p,y_genes_log1p,sex_inferred,confidence
S1,45,26178,3.828641396489095,10.172712841637342,M,high
S10,40,23371,3.713572066704308,10.059294003674328,M,high
S11,13404,146,9.50338305067006,4.990432586778736,F,high
S12,14367,177,9.57275879054198,5.181783550292085,F,high
S13,34121,658,10.437697616534855,6.490723534502507,F,high
S14,23948,417,10.083681848313908,6.035481432524756,F,high
S15,26517,256,10.185579026674665,5.54907608489522,F,high
S16,212,90989,5.3612921657094255,11.418504889350736,M,medium
S17,142,42697,4.962844630259907,10.66190735971227,M,high
S18,146,43925,4.990432586778736,10.690261678874698,M,high
S19,229,62354,5.438079308923196,11.040599140354848,M,medium
S2,43,34267,3.784189633918261,10.441967253083934,M,high
S20,199,55549,5.298317366548036,10.925038795067776,M,medium
S21,116,59961,4.762173934797756,11.00146630723063,M,high
S3,40,35422,3.713572066704308,10.475116605660943,M,high
S5,80,44114,4.394449154672439,10.694555139656206,M,high
S6,21475,479,9.97469131154246,6.173786103901937,F,high
S7,87,37832,4.477336814478207,10.540937016623984,M,high
S8,45682,691,10.729481516429123,6.539585955617669,F,medium
S9,96,35797,4.574710978503383,10.485647304906445,M,high
